PDC Study ID,Study ID,Study Submitter ID,Study Name,Embargo date,Project Name,Program Name,Disease Type,Primary Site,Analytical Fraction,Experiment Type,RAW,MZML,METADATA,PSM,Protein Assembly,Quality Metrics,Cases #
"PDC000330","c1ddcf38-48ca-4d5f-bb1f-9a9b003735d4","Microscaled Proteogenomic Methods for Precision Oncology PDX cores - Phosphoproteome","Microscaled Proteogenomic Methods for Precision Oncology PDX cores - Phosphoproteome","N/A","CPTAC3-Other","Clinical Proteomic Tumor Analysis Consortium","Breast Invasive Carcinoma;Other","Not Reported","Phosphoproteome","TMT10",8,8,3,16,6,2,6
"PDC000329","e5a90f94-023c-4767-9d47-8dec9c62a1cd","Microscaled Proteogenomic Methods for Precision Oncology PDX cores - Proteome","Microscaled Proteogenomic Methods for Precision Oncology PDX cores - Proteome","N/A","CPTAC3-Other","Clinical Proteomic Tumor Analysis Consortium","Breast Invasive Carcinoma;Other","Not Reported","Proteome","TMT10",24,24,3,48,5,2,6
"PDC000328","690a4453-d4c1-40c0-a089-7ac7466bcea2","Microscaled Proteogenomic Methods for Precision Oncology PDX bulk - Phosphoproteome","Microscaled Proteogenomic Methods for Precision Oncology PDX bulk - Phosphoproteome","N/A","CPTAC3-Other","Clinical Proteomic Tumor Analysis Consortium","Other;Breast Invasive Carcinoma","Not Reported","Phosphoproteome","TMT10",13,13,3,26,6,2,6
"PDC000327","8de60ec7-f811-40f6-b9e1-832d653c5058","Microscaled Proteogenomic Methods for Precision Oncology PDX bulk - Proteome","Microscaled Proteogenomic Methods for Precision Oncology PDX bulk - Proteome","N/A","CPTAC3-Other","Clinical Proteomic Tumor Analysis Consortium","Other;Breast Invasive Carcinoma","Not Reported","Proteome","TMT10",24,24,3,48,5,2,6
"PDC000326","2d6dbfba-4736-4df4-bf37-2555b7c7e68d","Microscaled Proteogenomic Methods for Precision Oncology DP1 Clinical Trial - Phosphoproteome","Microscaled Proteogenomic Methods for Precision Oncology DP1 Clinical Trial - Phosphoproteome","N/A","CPTAC3-Other","Clinical Proteomic Tumor Analysis Consortium","Breast Invasive Carcinoma;Other","Breast;Not Reported","Phosphoproteome","TMT11",40,40,3,80,6,2,17
"PDC000325","c871b5dd-0e7f-46aa-bbda-7df17265da37","Microscaled Proteogenomic Methods for Precision Oncology DP1 Clinical Trial - Proteome","Microscaled Proteogenomic Methods for Precision Oncology DP1 Clinical Trial - Proteome","N/A","CPTAC3-Other","Clinical Proteomic Tumor Analysis Consortium","Breast Invasive Carcinoma;Other","Breast;Not Reported","Proteome","TMT11",96,96,3,192,5,2,17
"PDC000320","85df2ad5-0c83-4674-8013-0d6f360b9831","AML Quizartinib Resistance -  Phosphoproteome","AML Quizartinib Resistance -  Phosphoproteome","N/A","Proteogenomic Translational Research Centers (PTRC)","Clinical Proteomic Tumor Analysis Consortium","Acute Myeloid Leukemia;Other","Hematopoietic and reticuloendothelial systems;Not Reported","Phosphoproteome","TMT11",12,12,4,24,6,2,2
"PDC000319","d3b64baa-c0dc-45db-bd1d-31bd5000f2e9","AML Gilteritinib TimeCourse -  Phosphoproteome","AML Gilteritinib TimeCourse -  Phosphoproteome","N/A","Proteogenomic Translational Research Centers (PTRC)","Clinical Proteomic Tumor Analysis Consortium","Other;Acute Myeloid Leukemia","Not Reported;Hematopoietic and reticuloendothelial systems","Phosphoproteome","TMT11",18,18,4,36,6,2,2
"PDC000318","377db6e0-c7ac-4823-bef9-b5fb4f9a7272","AML Gilteritinib Resistance -  Phosphoproteome","AML Gilteritinib Resistance -  Phosphoproteome","N/A","Proteogenomic Translational Research Centers (PTRC)","Clinical Proteomic Tumor Analysis Consortium","Acute Myeloid Leukemia;Other","Hematopoietic and reticuloendothelial systems;Not Reported","Phosphoproteome","TMT11",24,24,4,48,6,2,3
"PDC000317","6b86339d-8e96-4f4d-8dba-8f54e996b3df","AML Quizartinib Resistance -  Proteome","AML Quizartinib Resistance -  Proteome","N/A","Proteogenomic Translational Research Centers (PTRC)","Clinical Proteomic Tumor Analysis Consortium","Acute Myeloid Leukemia;Other","Hematopoietic and reticuloendothelial systems;Not Reported","Proteome","TMT11",24,24,4,48,5,2,2
